epoch,train_loss,val_loss
1,0.0895605,0.078745
2,0.0774135,0.0778977
3,0.076434,0.0768164
4,0.0760241,0.0781147
5,0.0756201,0.0792609
6,0.0753156,0.0770533
7,0.0751458,0.0774883
8,0.0749949,0.0783112
9,0.074807,0.0773244
10,0.0746723,0.077615
11,0.0746417,0.0775453
12,0.074403,0.0782004
13,0.074339,0.078136
14,0.0742507,0.0789814
15,0.0741275,0.0787755
16,0.0740012,0.0781666
17,0.0739694,0.0785046
18,0.0738534,0.079208
19,0.0738055,0.0789196
20,0.0737751,0.0784732
21,0.0737085,0.0787695
22,0.0736207,0.0786545
23,0.0736016,0.0787582
24,0.0734715,0.0795118
25,0.0734711,0.0790302
26,0.0733194,0.0786872
27,0.0733594,0.0786223
28,0.0732618,0.0789994
29,0.0732406,0.0792625
30,0.0731515,0.0787358
31,0.0731378,0.0794472
32,0.0730687,0.078715
33,0.0730067,0.0797952
34,0.072981,0.0793786
35,0.072924,0.0794465
36,0.0729464,0.0802397
37,0.072841,0.0785855
38,0.0727878,0.0791394
39,0.0726949,0.0794825
40,0.0727757,0.0789384
41,0.0727539,0.0800588
42,0.0726843,0.0795473
43,0.0726663,0.0797814
44,0.0725762,0.0793287
45,0.0725197,0.0794579
46,0.0725041,0.0795983
47,0.0724953,0.0802606
48,0.0725114,0.0800607
49,0.0723859,0.0799157
50,0.0724336,0.080724
51,0.0722593,0.0799175
52,0.0723538,0.079926
53,0.072307,0.0796618
54,0.072286,0.0801068
55,0.0722274,0.0793522
56,0.07223,0.080521
57,0.0721718,0.0803941
58,0.0721834,0.0798631
59,0.0721462,0.0801888
60,0.0721215,0.0798762
61,0.072107,0.0797534
62,0.0720503,0.0797822
63,0.0720035,0.0808279
64,0.0720205,0.0795347
65,0.0720258,0.0802811
66,0.0719833,0.0801669
67,0.0719551,0.0800975
68,0.0719764,0.0798854
69,0.0718895,0.0798103
70,0.0718695,0.0802177
71,0.071899,0.0803863
72,0.071871,0.0804675
73,0.0718769,0.0801522
74,0.0717733,0.0806481
75,0.07183,0.0803078
76,0.0718071,0.0800612
77,0.0717542,0.0810624
78,0.071781,0.079779
79,0.0716552,0.0799761
80,0.0716736,0.0804742
81,0.0717106,0.0799241
82,0.0716264,0.0802541
83,0.0716229,0.0801753
84,0.0715881,0.0802275
85,0.0715944,0.081052
86,0.0715736,0.0801842
87,0.0715437,0.080415
88,0.0715247,0.0801981
89,0.0715181,0.0802943
90,0.0714436,0.080826
91,0.0715178,0.0807786
92,0.0714431,0.0804943
93,0.0714219,0.0803782
94,0.071514,0.0812087
95,0.071353,0.0812795
96,0.0713913,0.0809698
97,0.0713372,0.0809936
98,0.0714061,0.0809373
99,0.0713152,0.0806459
100,0.0713339,0.0815277
